,abundance
ENSMUSG00000002059,9.02707883418074e-05
ENSMUSG00000002064,0.00015392886041263224
ENSMUSG00000002068,3.959112932625694e-05
ENSMUSG00000002076,1.073991324556252e-06
ENSMUSG00000002083,6.3520413211254725e-06
ENSMUSG00000002102,0.00024875808292741046
ENSMUSG00000002103,2.8110111268866615e-05
ENSMUSG00000002104,7.925820500394197e-07
ENSMUSG00000002105,3.6554552890461606e-05
ENSMUSG00000002107,3.2332733328966414e-05
ENSMUSG00000002108,1.05680099816549e-06
ENSMUSG00000002109,7.400058167630729e-07
ENSMUSG00000002111,1.0611111968517863e-06
ENSMUSG00000002129,4.7671873405166914e-05
ENSMUSG00000002147,6.33288994450433e-05
ENSMUSG00000002190,3.157201757182679e-08
ENSMUSG00000002204,3.4795870699006136e-07
ENSMUSG00000002205,1.1534685412579151e-05
ENSMUSG00000002210,4.418315656847826e-06
ENSMUSG00000002221,1.992466310377527e-05
ENSMUSG00000002222,3.845720250447132e-05
ENSMUSG00000002227,4.908475784819862e-06
ENSMUSG00000002228,3.8017934249528214e-07
ENSMUSG00000002233,0.00022536518381292684
ENSMUSG00000002249,6.738899470001894e-06
ENSMUSG00000002250,1.0310872685185774e-05
ENSMUSG00000002257,2.9240394676716244e-05
ENSMUSG00000002265,1.1716843094361456e-06
ENSMUSG00000002274,6.252410172820423e-07
ENSMUSG00000002279,1.2335072370458074e-05
ENSMUSG00000002280,1.1242914159134386e-05
ENSMUSG00000002289,2.892763649801147e-05
ENSMUSG00000002297,1.6529545945674076e-05
ENSMUSG00000002307,1.8046861398843212e-05
ENSMUSG00000002308,3.0917954188191075e-05
ENSMUSG00000002319,7.155905882154368e-05
ENSMUSG00000002320,1.7911980711418306e-05
ENSMUSG00000002324,4.2309651988253924e-08
ENSMUSG00000002325,6.2722056407724025e-06
ENSMUSG00000002326,2.332575177923757e-05
ENSMUSG00000002329,3.161808550421439e-05
ENSMUSG00000002332,5.662208456815949e-05
ENSMUSG00000002342,5.722830013078165e-05
ENSMUSG00000002343,1.2262179262177397e-05
ENSMUSG00000002345,8.739960655321184e-05
ENSMUSG00000002346,2.0983298802636554e-06
ENSMUSG00000002365,5.783919613020951e-05
ENSMUSG00000002372,2.7088715431316215e-05
ENSMUSG00000002379,0.00036518772801242205
ENSMUSG00000002384,2.6090255126998334e-07
ENSMUSG00000002393,1.0804862887264618e-05
ENSMUSG00000002395,8.750373456103927e-05
ENSMUSG00000002396,4.786236296886059e-06
ENSMUSG00000002409,3.747643643626134e-06
ENSMUSG00000002413,3.451000609589918e-05
ENSMUSG00000002416,3.262187501237683e-06
ENSMUSG00000002428,1.6181624544806916e-05
ENSMUSG00000002455,6.628607576240818e-05
ENSMUSG00000002458,4.889642278583671e-05
ENSMUSG00000002459,1.936012835964286e-06
ENSMUSG00000002475,8.946685103677042e-07
ENSMUSG00000002477,0.00048300440623072293
ENSMUSG00000002486,5.9751504081239706e-06
ENSMUSG00000002489,1.6645194835782166e-05
ENSMUSG00000002496,2.9691037168783887e-05
ENSMUSG00000002500,8.473753944329286e-08
ENSMUSG00000002504,1.683358050072457e-05
ENSMUSG00000002524,9.872472554668519e-05
ENSMUSG00000002546,3.5048579366673405e-05
ENSMUSG00000002550,1.0351711636393866e-05
ENSMUSG00000002565,1.355027389206198e-07
ENSMUSG00000002578,2.779205605153617e-07
ENSMUSG00000002580,8.144000512525212e-05
ENSMUSG00000002602,0.00035106292685066525
ENSMUSG00000002603,8.719925815507781e-06
ENSMUSG00000002608,1.3487855867208512e-05
ENSMUSG00000002617,2.4623111243435445e-06
ENSMUSG00000002625,1.19585852838431e-05
ENSMUSG00000002635,3.0025163799897733e-05
ENSMUSG00000002658,0.0001078266424925872
ENSMUSG00000002660,9.919357762708482e-05
ENSMUSG00000002661,2.133927619743957e-05
ENSMUSG00000002664,5.856629289651914e-08
ENSMUSG00000002668,3.0103727702571457e-07
ENSMUSG00000002679,7.064895170110127e-05
ENSMUSG00000002688,1.3213535398498331e-05
ENSMUSG00000002699,5.205159537724596e-07
ENSMUSG00000002718,6.435351598915379e-05
ENSMUSG00000002728,0.00015464570791282365
ENSMUSG00000002731,2.4339836491600547e-05
ENSMUSG00000002732,0.00013186215684331156
ENSMUSG00000002733,2.1096528390118507e-05
ENSMUSG00000002741,9.384230527876344e-05
ENSMUSG00000002748,3.988243682290199e-05
ENSMUSG00000002769,4.361158161063932e-08
ENSMUSG00000002771,1.2091154877217917e-06
ENSMUSG00000002778,8.816898909609097e-05
ENSMUSG00000002781,1.1829575942891311e-05
ENSMUSG00000002791,9.769334383797511e-08
ENSMUSG00000002797,3.0364920244696688e-05
ENSMUSG00000002799,4.853420789871781e-07
ENSMUSG00000002803,2.601480109465805e-06
ENSMUSG00000002804,2.5393701923346967e-05
ENSMUSG00000002808,4.103145016144052e-05
ENSMUSG00000002812,8.307637380517215e-05
ENSMUSG00000002814,5.280409213018951e-06
ENSMUSG00000002820,5.0164420109889886e-06
ENSMUSG00000002825,1.4502229546470407e-05
ENSMUSG00000002831,1.32352792631065e-06
ENSMUSG00000002833,7.605925903734437e-05
ENSMUSG00000002835,8.07016821362548e-06
ENSMUSG00000002844,0.00010381695050181018
ENSMUSG00000002845,3.4152360910512347e-05
ENSMUSG00000002846,1.0563156592151769e-05
ENSMUSG00000002847,4.854053699829117e-06
ENSMUSG00000002870,3.5524793856666676e-05
ENSMUSG00000002871,1.2417065505412435e-05
ENSMUSG00000002881,3.681678847909243e-05
ENSMUSG00000002885,4.0624186672866925e-05
ENSMUSG00000002897,5.066332562451085e-05
ENSMUSG00000002900,0.00010871865732840292
ENSMUSG00000002908,1.7978959027115845e-06
ENSMUSG00000002910,2.044662995348692e-06
ENSMUSG00000002944,9.765280696665577e-07
ENSMUSG00000002948,2.1821434124032776e-05
ENSMUSG00000002949,3.626611887114635e-05
ENSMUSG00000002957,4.6986968692464086e-05
ENSMUSG00000002963,2.1642558544083797e-05
ENSMUSG00000002968,3.2664466668689644e-05
ENSMUSG00000002980,1.6125198869539871e-06
ENSMUSG00000002981,3.516971709837899e-05
ENSMUSG00000002983,1.1475336758499424e-05
ENSMUSG00000002984,3.5861014853671516e-05
ENSMUSG00000002985,1.0658926278567191e-05
ENSMUSG00000002992,5.83485478096724e-07
ENSMUSG00000002996,1.7366112472511013e-05
ENSMUSG00000002997,3.175710204977858e-05
ENSMUSG00000003031,2.5736192616421533e-05
ENSMUSG00000003032,0.00017223851047007283
ENSMUSG00000003033,3.2712232108089525e-05
ENSMUSG00000003037,0.00010483808032377668
ENSMUSG00000003038,0.00029243309644694893
ENSMUSG00000003039,0.00010150941979171321
ENSMUSG00000003062,0.0001125436770698395
ENSMUSG00000003068,5.749345239525102e-05
ENSMUSG00000003070,1.4208156988391132e-06
ENSMUSG00000003072,0.0002400459810340583
ENSMUSG00000003099,6.016585418937013e-05
ENSMUSG00000003119,2.574074355630973e-05
ENSMUSG00000003123,4.99012656750852e-07
ENSMUSG00000003131,0.00013668630609259993
ENSMUSG00000003134,1.0072700697177882e-06
ENSMUSG00000003135,1.744390186899907e-05
ENSMUSG00000003153,1.246598799898198e-05
ENSMUSG00000003154,9.381173421778054e-06
ENSMUSG00000003161,0.00033762504668987764
ENSMUSG00000003184,2.6014258125863222e-05
ENSMUSG00000003190,1.3269014288327828e-05
ENSMUSG00000003198,3.223478809994278e-06
ENSMUSG00000003199,2.234263791564969e-05
ENSMUSG00000003200,4.1809181956743833e-05
ENSMUSG00000003206,4.3596301231031027e-07
ENSMUSG00000003208,1.2671922398738251e-05
ENSMUSG00000003226,0.00012174063710431742
ENSMUSG00000003227,2.6314055312007413e-08
ENSMUSG00000003228,1.1913531543294407e-05
ENSMUSG00000003233,3.395454320630702e-05
ENSMUSG00000003234,2.6606015518191023e-05
ENSMUSG00000003235,3.576352962912255e-05
ENSMUSG00000003269,5.7347650768840805e-05
ENSMUSG00000003271,6.263298340124148e-07
ENSMUSG00000003273,1.8164427105814958e-06
ENSMUSG00000003279,4.3634210947807294e-07
ENSMUSG00000003282,9.204186910393168e-07
ENSMUSG00000003283,1.0735143273092353e-05
ENSMUSG00000003299,5.951201807607935e-05
ENSMUSG00000003308,3.752883341277161e-05
ENSMUSG00000003309,1.4045645283993618e-07
ENSMUSG00000003316,7.552623319555885e-05
ENSMUSG00000003341,9.464364289437336e-08
ENSMUSG00000003344,1.1975310689981798e-05
ENSMUSG00000003345,5.143961602344899e-05
ENSMUSG00000003346,3.514918394902466e-05
ENSMUSG00000003348,7.069379918725788e-06
ENSMUSG00000003352,2.128296057134701e-05
ENSMUSG00000003354,1.8367199242507056e-06
ENSMUSG00000003355,7.19224483605552e-05
ENSMUSG00000003360,1.0806571476179527e-05
ENSMUSG00000003363,5.389963543215785e-05
ENSMUSG00000003378,9.643398724846532e-07
ENSMUSG00000003379,2.201288351256791e-08
ENSMUSG00000003380,0.0001814686387493514
ENSMUSG00000003382,1.036795274305873e-05
ENSMUSG00000003402,0.0001284346435946452
ENSMUSG00000003410,2.701567453145546e-08
ENSMUSG00000003411,2.1572732904863155e-05
ENSMUSG00000003418,1.3961000238245946e-07
ENSMUSG00000003420,3.6400809101099295e-05
ENSMUSG00000003421,2.1192749359808136e-05
ENSMUSG00000003423,3.273988975488614e-05
ENSMUSG00000003429,0.002485133855831833
ENSMUSG00000003435,2.8334011753285716e-05
ENSMUSG00000003436,9.102656885455072e-08
ENSMUSG00000003437,5.875761540136261e-05
ENSMUSG00000003438,5.356052284147288e-05
ENSMUSG00000003444,9.988513067110257e-05
ENSMUSG00000003452,5.881978134981737e-06
ENSMUSG00000003458,5.2194347607932356e-05
ENSMUSG00000003464,3.781252251999241e-05
ENSMUSG00000003469,1.359059090330035e-07
ENSMUSG00000003476,4.931026269398233e-08
ENSMUSG00000003500,1.2351034345177563e-05
ENSMUSG00000003518,3.2446836627815976e-05
ENSMUSG00000003526,3.6168275231227884e-07
ENSMUSG00000003527,1.1510467369689379e-05
ENSMUSG00000003528,6.614715820602092e-05
ENSMUSG00000003531,3.6520621479194444e-05
ENSMUSG00000003534,5.1748714443810536e-05
ENSMUSG00000003541,0.00013816662974713837
ENSMUSG00000003545,2.209640885929497e-05
ENSMUSG00000003546,9.324003193888172e-06
ENSMUSG00000003549,9.565092927886182e-05
ENSMUSG00000003559,3.5826915698746815e-05
ENSMUSG00000003573,1.212657577198847e-05
ENSMUSG00000003575,7.4861875030921314e-06
ENSMUSG00000003581,6.8851370341784985e-06
ENSMUSG00000003585,5.833632241448408e-07
ENSMUSG00000003604,2.611961927683282e-05
ENSMUSG00000003617,3.4851176206473346e-07
ENSMUSG00000003623,2.4987125335082194e-05
ENSMUSG00000003644,4.594631177661701e-06
ENSMUSG00000003660,7.242209503763853e-05
ENSMUSG00000003662,3.219860422451651e-05
ENSMUSG00000003665,7.294242664826909e-07
ENSMUSG00000003680,5.2644791337253984e-05
ENSMUSG00000003721,9.117120579289887e-05
ENSMUSG00000003731,5.420899053879881e-05
ENSMUSG00000003746,5.820930222452303e-05
ENSMUSG00000003752,8.672238914485288e-07
ENSMUSG00000003762,7.796805079136162e-06
ENSMUSG00000003778,5.622087600085007e-05
ENSMUSG00000003779,1.6056359846322573e-05
ENSMUSG00000003808,3.845165532665279e-05
ENSMUSG00000003809,1.473934302089455e-05
ENSMUSG00000003810,1.7871856142181582e-05
ENSMUSG00000003812,5.146337196359873e-06
ENSMUSG00000003813,4.3379892937152366e-05
ENSMUSG00000003814,0.0005992608673641609
ENSMUSG00000003824,1.193764288090189e-05
ENSMUSG00000003847,6.491744145233011e-05
ENSMUSG00000003848,4.3829080402966366e-05
ENSMUSG00000003849,0.00011851852814863194
